"X_COORD","Y_COORD","HABITAT"
316000,233000,0
317000,233000,0
318000,233000,0
319000,233000,0
320000,233000,0
321000,233000,1
322000,233000,1
323000,233000,1
324000,233000,1
325000,233000,1
326000,233000,1
327000,233000,1
328000,233000,1
329000,233000,1
330000,233000,1
331000,233000,1
332000,233000,0
333000,233000,0
334000,233000,0
313000,234000,0
314000,234000,0
315000,234000,0
316000,234000,0
317000,234000,0
318000,234000,0
319000,234000,0
320000,234000,0
321000,234000,1
322000,234000,1
323000,234000,1
324000,234000,1
325000,234000,1
326000,234000,1
327000,234000,1
328000,234000,1
329000,234000,1
330000,234000,1
331000,234000,1
332000,234000,0
333000,234000,0
334000,234000,0
335000,234000,0
336000,234000,0
312000,235000,0
313000,235000,0
314000,235000,0
315000,235000,0
316000,235000,0
317000,235000,0
318000,235000,0
319000,235000,0
320000,235000,0
321000,235000,1
322000,235000,1
323000,235000,1
324000,235000,1
325000,235000,1
326000,235000,1
327000,235000,1
328000,235000,1
329000,235000,1
330000,235000,1
331000,235000,1
332000,235000,0
333000,235000,0
334000,235000,0
335000,235000,0
336000,235000,0
337000,235000,0
338000,235000,1
339000,235000,1
310000,236000,0
311000,236000,0
312000,236000,0
313000,236000,0
314000,236000,0
315000,236000,0
316000,236000,0
317000,236000,0
318000,236000,0
319000,236000,0
320000,236000,0
321000,236000,1
322000,236000,1
323000,236000,1
324000,236000,1
325000,236000,1
326000,236000,1
327000,236000,1
328000,236000,1
329000,236000,1
330000,236000,1
331000,236000,1
332000,236000,0
333000,236000,0
334000,236000,0
335000,236000,0
336000,236000,0
337000,236000,0
338000,236000,1
339000,236000,1
340000,236000,1
341000,236000,1
309000,237000,0
310000,237000,0
311000,237000,0
312000,237000,0
313000,237000,0
314000,237000,0
315000,237000,0
316000,237000,0
317000,237000,0
318000,237000,0
319000,237000,0
320000,237000,0
321000,237000,1
322000,237000,1
323000,237000,1
324000,237000,1
325000,237000,1
326000,237000,1
327000,237000,1
328000,237000,1
329000,237000,1
330000,237000,1
331000,237000,0
332000,237000,0
333000,237000,0
334000,237000,0
335000,237000,0
336000,237000,0
337000,237000,0
338000,237000,1
339000,237000,1
340000,237000,1
341000,237000,1
342000,237000,1
343000,237000,1
308000,238000,0
309000,238000,0
310000,238000,0
311000,238000,0
312000,238000,0
313000,238000,0
314000,238000,0
315000,238000,0
316000,238000,0
317000,238000,0
318000,238000,0
319000,238000,0
320000,238000,0
321000,238000,1
322000,238000,1
323000,238000,1
324000,238000,1
325000,238000,1
326000,238000,1
327000,238000,1
328000,238000,1
329000,238000,1
330000,238000,1
331000,238000,0
332000,238000,0
333000,238000,0
334000,238000,0
335000,238000,0
336000,238000,0
337000,238000,0
338000,238000,1
339000,238000,1
340000,238000,1
341000,238000,1
342000,238000,1
343000,238000,1
344000,238000,1
308000,239000,0
309000,239000,0
310000,239000,0
311000,239000,0
312000,239000,0
313000,239000,0
314000,239000,0
315000,239000,0
316000,239000,0
317000,239000,0
318000,239000,0
319000,239000,0
320000,239000,0
321000,239000,0
322000,239000,0
323000,239000,0
324000,239000,1
325000,239000,1
326000,239000,1
327000,239000,1
328000,239000,1
329000,239000,1
330000,239000,1
331000,239000,0
332000,239000,0
333000,239000,0
334000,239000,0
335000,239000,0
336000,239000,0
337000,239000,0
338000,239000,1
339000,239000,1
340000,239000,1
341000,239000,1
342000,239000,1
343000,239000,1
344000,239000,1
345000,239000,1
307000,240000,0
308000,240000,0
309000,240000,0
310000,240000,0
311000,240000,0
312000,240000,0
313000,240000,0
314000,240000,0
315000,240000,0
316000,240000,0
317000,240000,0
318000,240000,0
319000,240000,0
320000,240000,0
321000,240000,0
322000,240000,0
323000,240000,0
324000,240000,1
325000,240000,1
326000,240000,1
327000,240000,1
328000,240000,1
329000,240000,1
330000,240000,1
331000,240000,0
332000,240000,0
333000,240000,0
334000,240000,0
335000,240000,0
336000,240000,0
337000,240000,0
338000,240000,1
339000,240000,1
340000,240000,1
341000,240000,1
342000,240000,1
343000,240000,1
344000,240000,1
345000,240000,1
346000,240000,1
307000,241000,0
308000,241000,0
309000,241000,0
310000,241000,0
311000,241000,0
312000,241000,0
313000,241000,0
314000,241000,0
315000,241000,0
316000,241000,0
317000,241000,0
318000,241000,0
319000,241000,0
320000,241000,0
321000,241000,0
322000,241000,0
323000,241000,0
324000,241000,1
325000,241000,1
326000,241000,1
327000,241000,1
328000,241000,1
329000,241000,1
330000,241000,1
331000,241000,0
332000,241000,0
333000,241000,0
334000,241000,0
335000,241000,0
336000,241000,0
337000,241000,0
338000,241000,1
339000,241000,1
340000,241000,1
341000,241000,1
342000,241000,1
343000,241000,1
344000,241000,1
345000,241000,1
346000,241000,1
306000,242000,0
307000,242000,0
308000,242000,0
309000,242000,0
310000,242000,0
311000,242000,0
312000,242000,0
313000,242000,0
314000,242000,0
315000,242000,0
316000,242000,0
317000,242000,0
318000,242000,0
319000,242000,0
320000,242000,0
321000,242000,0
322000,242000,0
323000,242000,0
324000,242000,1
325000,242000,1
326000,242000,0
327000,242000,0
328000,242000,1
329000,242000,0
330000,242000,0
331000,242000,0
332000,242000,0
333000,242000,0
334000,242000,0
335000,242000,0
336000,242000,0
337000,242000,0
338000,242000,1
339000,242000,1
340000,242000,1
341000,242000,1
342000,242000,1
343000,242000,1
344000,242000,1
345000,242000,1
346000,242000,1
347000,242000,1
306000,243000,0
307000,243000,0
308000,243000,0
309000,243000,0
310000,243000,0
311000,243000,0
312000,243000,0
313000,243000,0
314000,243000,0
315000,243000,0
316000,243000,0
317000,243000,0
318000,243000,0
319000,243000,0
320000,243000,0
321000,243000,0
322000,243000,0
323000,243000,1
324000,243000,1
325000,243000,1
326000,243000,0
327000,243000,0
328000,243000,0
329000,243000,0
330000,243000,0
331000,243000,0
332000,243000,0
333000,243000,0
334000,243000,0
335000,243000,0
336000,243000,0
337000,243000,0
338000,243000,1
339000,243000,1
340000,243000,1
341000,243000,1
342000,243000,1
343000,243000,1
344000,243000,1
345000,243000,1
346000,243000,1
347000,243000,1
305000,244000,0
306000,244000,0
307000,244000,0
308000,244000,0
309000,244000,0
310000,244000,0
311000,244000,0
312000,244000,0
313000,244000,0
314000,244000,0
315000,244000,0
316000,244000,0
317000,244000,0
318000,244000,0
319000,244000,0
320000,244000,0
321000,244000,0
322000,244000,0
323000,244000,1
324000,244000,1
325000,244000,1
326000,244000,0
327000,244000,0
328000,244000,0
329000,244000,0
330000,244000,0
331000,244000,0
332000,244000,0
333000,244000,0
334000,244000,0
335000,244000,0
336000,244000,0
337000,244000,0
338000,244000,1
339000,244000,1
340000,244000,1
341000,244000,1
342000,244000,1
343000,244000,1
344000,244000,1
345000,244000,1
346000,244000,1
347000,244000,1
348000,244000,1
305000,245000,0
306000,245000,0
307000,245000,0
308000,245000,0
309000,245000,0
310000,245000,0
311000,245000,0
312000,245000,0
313000,245000,0
314000,245000,0
315000,245000,0
316000,245000,0
317000,245000,0
318000,245000,0
319000,245000,0
320000,245000,0
321000,245000,0
322000,245000,0
323000,245000,0
324000,245000,0
325000,245000,0
326000,245000,0
327000,245000,0
328000,245000,0
329000,245000,0
330000,245000,0
331000,245000,0
332000,245000,0
333000,245000,0
334000,245000,0
335000,245000,0
336000,245000,0
337000,245000,0
338000,245000,1
339000,245000,1
340000,245000,1
341000,245000,1
342000,245000,1
343000,245000,1
344000,245000,1
345000,245000,1
346000,245000,1
347000,245000,1
348000,245000,1
349000,245000,1
304000,246000,0
305000,246000,0
306000,246000,0
307000,246000,0
308000,246000,0
309000,246000,0
310000,246000,0
311000,246000,0
312000,246000,0
313000,246000,0
314000,246000,0
315000,246000,0
316000,246000,0
317000,246000,0
318000,246000,0
319000,246000,0
320000,246000,0
321000,246000,0
322000,246000,0
323000,246000,0
324000,246000,0
325000,246000,0
326000,246000,0
327000,246000,0
328000,246000,0
329000,246000,0
330000,246000,0
331000,246000,0
332000,246000,0
333000,246000,0
334000,246000,0
335000,246000,0
336000,246000,0
337000,246000,0
338000,246000,1
339000,246000,1
